id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
33580608,Perfect for staycation king size bed & Netflix,253034113,Max,,Vieux-Limoilou,46.82178,-71.22242,Entire home/apt,120,30,37,2020-03-07,1.36,1,266
33617089,Appartement plus que chaleureux ! proche de tout!,34670544,Paul,,Vieux-Limoilou,46.82349,-71.22033,Private room,35,2,78,2020-01-20,3.06,1,0
33632185,Ville de Québec : vieux limoilou,88278269,Claude,,Vieux-Limoilou,46.82805,-71.23438,Entire home/apt,45,32,2,2021-06-06,0.25,4,311
33634417,Logement au Coeur de la ville de Québec,169594547,Annie-Claude,,Neufchâtel-Est/Lebourgneuf,46.84555,-71.28241,Private room,50,30,1,2020-11-03,0.12,2,128
33652731,"The ""OASIS"" with private hot tub and parking.",253619149,Gabrielle,,Saint-Jean-Baptiste,46.80793,-71.22125,Entire home/apt,185,2,79,2020-02-29,2.93,1,217
33661489,Maison de ville avec vue et à pied du Fleuve,96959561,Julie,,Sillery,46.76101,-71.2677,Entire home/apt,190,2,3,2019-08-08,0.13,1,0
33705437,"OLD-QUEBEC, GOOD LOCATION, ALL INCLUDED,",253934670,Teddy,,Saint-Jean-Baptiste,46.80949,-71.22458,Entire home/apt,113,2,51,2021-01-21,1.98,1,179
33711055,⚜️GENERATIONS⚜️HUGE 3BDR/ Parking/ Family oriented,55588409,Elise,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81694,-71.21023,Entire home/apt,504,2,94,2020-03-11,3.49,5,264
33783350,Beautiful Bedroom in Condo Downtown with Parking!,4431539,Chloe,,Saint-Sauveur,46.81055,-71.2302,Private room,120,1,31,2019-09-29,1.18,1,0
33801718,zen appartment facing the park + private parking !,23113230,Sophie,,Maizerets,46.83669,-71.21535,Entire home/apt,41,2,11,2020-08-22,0.47,1,0
33896747,Charming Studio in the Heart of Downtown,251946046,Roxane,,Saint-Jean-Baptiste,46.80772,-71.22373,Entire home/apt,39,1,79,2020-02-20,2.98,3,0
33897796,Charming Studio Downtown,251946046,Roxane,,Saint-Jean-Baptiste,46.80822,-71.22311,Entire home/apt,39,1,70,2019-12-18,2.64,3,0
33898354,Charming Studio in the Heart of Downtown,251946046,Roxane,,Saint-Jean-Baptiste,46.80964,-71.22508,Entire home/apt,39,1,86,2020-02-13,3.24,3,0
33899617,Charming Studio in the Heart of Downtown,254356526,Annie,,Saint-Jean-Baptiste,46.80781,-71.22484,Entire home/apt,39,1,57,2019-12-28,2.18,3,0
33900709,Charming Studio in the Heart of Downtown,254356526,Annie,,Saint-Jean-Baptiste,46.80823,-71.22389,Entire home/apt,39,1,70,2020-02-17,2.64,3,0
33905655,Charming Studio in the Heart of Downtown,254356526,Annie,,Saint-Jean-Baptiste,46.80927,-71.22319,Entire home/apt,39,1,61,2019-12-26,2.30,3,0
33906360,Charming Studio in the Heart of Downtown,254357048,Marie,,Saint-Jean-Baptiste,46.80915,-71.22498,Entire home/apt,39,1,80,2020-01-31,3.02,2,0
33955955,Charming Studio in the Heart of Downtown,254357048,Marie,,Saint-Jean-Baptiste,46.80961,-71.22514,Entire home/apt,39,1,66,2020-02-16,2.48,2,0
33959701,Charming Apartement in the Heart of Downtown,251945655,Juliette,,Saint-Jean-Baptiste,46.81186,-71.21776,Entire home/apt,49,1,95,2019-12-23,3.60,2,0
33960407,Charming Apartement in the Heart of Downtown,251945655,Juliette,,Saint-Jean-Baptiste,46.81332,-71.21735,Entire home/apt,49,1,67,2019-12-26,2.52,2,0
33972574,Chambres face au campus universitaire !,107608468,Samuel,,Cité Universitaire,46.78459,-71.2643,Private room,40,4,2,2019-08-18,0.09,1,0
33998077,Petit et confortable au cœur de Québec,256709774,Martin,,Saint-Jean-Baptiste,46.80736,-71.22861,Entire home/apt,81,1,119,2020-12-07,4.67,1,99
34012106,Splendid apartment directly in Vieux-Québec-4p,256810074,Maxim,,Saint-Jean-Baptiste,46.81114,-71.2188,Entire home/apt,91,30,30,2019-10-02,1.20,1,336
34018492,Maison - QUÉBEC - près de tout,18134396,Catherine,,Quartier 4-2,46.87507,-71.27266,Entire home/apt,140,3,2,2019-12-27,0.09,1,0
34039104,"Chambre pour 1 ou 2 personnes, 2 lits gigognes",223418734,Lionel + Danielle,,Plateau,46.78133,-71.31987,Private room,18,7,36,2019-12-08,1.34,3,185
34066520,"Maison relax, vue sur fleuve 10min centre ville",130087396,Thomas,,Quartier 5-4,46.86827,-71.17383,Private room,49,1,4,2019-07-30,0.17,1,0
34088136,☀︎The Halo | Bright and new | AC+PRK+GYM,27326825,François,,Saint-Sauveur,46.81057,-71.23197,Entire home/apt,92,2,128,2020-09-29,4.78,21,148
34089402,Best Location in QC!!! - Comfortable 2BR + Netflix,257415651,Alex,,Montcalm,46.80062,-71.23044,Entire home/apt,42,4,22,2019-06-07,0.85,1,0
34090326,Welcome to Val's cozy apartment for 1-4 persons,257422768,Valérie,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81313,-71.21655,Entire home/apt,45,30,28,2019-08-08,1.06,1,336
34091197,L'appart en ville,60890605,Guylain,,Maizerets,46.84295,-71.23494,Entire home/apt,75,3,46,2019-08-08,1.86,1,0
34112601,King size bed & AC apartment in local district 4p,257575220,Bryan,,Vieux-Limoilou,46.82141,-71.22414,Entire home/apt,131,30,38,2019-08-06,1.49,1,187
34116863,"Bienvenue, Welcome",257603839,Martin,,Saint-Roch,46.81394,-71.21919,Entire home/apt,62,1,159,2021-01-05,5.98,1,247
34125571,Logement entier au cœur du Vieux-Québec (4 MOIS),257669440,John,,Saint-Jean-Baptiste,46.80995,-71.21886,Entire home/apt,150,30,0,,,2,89
34151922,*Near old Quebec City *WIFI TV*3 places*Quiet,257847428,Kyle,,Saint-Jean-Baptiste,46.81293,-71.21871,Entire home/apt,46,2,47,2020-02-09,1.92,1,311
34173727,"Le St-Louis, quartier historique du vieux-Québec",13436781,Josée,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80948,-71.20869,Entire home/apt,214,2,9,2020-08-07,0.38,1,94
34183270,La Retrouvaille,245771436,Charles,,Cité Universitaire,46.77934,-71.29469,Private room,29,2,17,2019-08-30,0.66,1,0
34194693,Brand new family house in Lower-Town,258167221,Mathieu,,Saint-Sauveur,46.80709,-71.23626,Entire home/apt,250,1,2,2019-09-01,0.09,1,0
34198084,Joli studio en plein coeur du vieux Québec,123075836,Walter,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81149,-71.21112,Entire home/apt,100,3,46,2020-02-23,1.84,4,141
